Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-5-30,40,GOOD,44,GOOD,Ozone,5,0,20,44,28,40,73,60,66,15,10,30.12,0,,205
2015-5-31,44,GOOD,36,GOOD,Ozone,3,0,13,36,9,29,63,55,85,14,8,30.14,0.91,Rain,28
2015-6-1,36,GOOD,31,GOOD,Ozone,2,0,21,31,4,23,48,47,97,14,3,30.25,0.38,Rain,43
2015-6-2,31,GOOD,30,GOOD,Ozone,2,0,17,30,4,23,48,45,93,11,7,30.19,0.74,Rain,33
2015-6-3,30,GOOD,36,GOOD,PM2.5,3,1,23,31,7,36,52,45,82,7,10,30.24,0,,90
2015-6-4,36,GOOD,40,GOOD,Ozone,3,0,24,40,9,32,54,45,74,6,10,30.3,0,,113
2015-6-5,40,GOOD,47,GOOD,Ozone,5,1,36,47,20,40,55,48,83,8,10,30.09,T,,106
2015-6-6,47,GOOD,39,GOOD,Ozone,5,1,32,39,10,34,60,51,73,7,10,29.94,0.09,Rain,54
2015-6-7,39,GOOD,42,GOOD,Ozone,5,4,28,42,13,37,60,40,47,11,10,30.16,0,,76
2015-6-8,42,GOOD,43,GOOD,Ozone,3,1,19,43,21,38,65,53,71,17,10,29.95,T,Rain,200
2015-6-9,43,GOOD,47,GOOD,Ozone,3,1,22,47,19,46,71,63,81,13,10,29.7,T,Rain,199
2015-6-10,47,GOOD,50,GOOD,Ozone,5,1,22,50,15,39,72,54,54,11,10,29.8,0,,245
2015-6-11,50,GOOD,93,MODERATE,Ozone,3,1,26,93,26,75,76,58,56,14,9,29.82,0,,248
2015-6-12,93,MODERATE,84,MODERATE,Ozone,6,4,45,84,14,57,72,55,60,9,10,29.92,0,,202
2015-6-13,84,MODERATE,43,GOOD,PM2.5,5,6,32,40,13,43,75,59,56,9,10,29.87,T,,2
2015-6-14,43,GOOD,42,GOOD,PM2.5,6,1,26,38,14,42,68,51,56,10,10,30.06,0,,67
2015-6-15,42,GOOD,38,GOOD,Ozone,3,1,25,38,5,32,59,53,84,9,5,30.09,0.4,Rain,113
2015-6-16,38,GOOD,52,MODERATE,PM2.5,5,1,25,32,6,52,64,59,91,5,6,29.88,T,Rain,87
2015-6-17,52,MODERATE,39,GOOD,Ozone,3,1,30,39,10,34,64,46,55,10,10,30.14,0,,111
2015-6-18,39,GOOD,46,GOOD,Ozone,5,1,27,46,15,39,67,49,59,10,10,30.04,0,,189
2015-6-19,46,GOOD,44,GOOD,Ozone,3,1,35,44,8,37,75,57,64,10,10,29.9,0,,272
2015-6-20,44,GOOD,40,GOOD,PM2.5,3,1,14,40,10,40,67,51,64,9,10,30.1,0.04,,76
2015-6-21,40,GOOD,32,GOOD,Ozone,3,1,28,32,6,29,68,65,91,6,5,29.74,1.72,Rain,92
2015-6-22,32,GOOD,53,MODERATE,PM2.5,6,1,43,40,8,53,69,62,84,6,5,29.85,0,Fog,89
2015-6-23,53,MODERATE,67,MODERATE,Ozone,6,1,32,67,23,58,74,66,80,12,10,29.81,0.01,Rain,201
2015-6-24,67,MODERATE,36,GOOD,Ozone,3,9,25,36,.,34,76,54,52,11,10,29.9,0,,298
2015-6-25,36,GOOD,42,GOOD,PM2.5,5,1,24,40,9,42,73,55,56,7,10,29.98,0,,292
2015-6-26,42,GOOD,43,GOOD,PM2.5,5,1,25,38,12,43,66,53,68,8,10,30.01,T,Rain,41
2015-6-27,43,GOOD,46,GOOD,PM2.5,6,1,25,43,12,46,63,55,76,8,10,30.14,0.2,Rain,108
2015-6-28,46,GOOD,31,GOOD,Ozone,2,1,14,31,6,18,56,56,94,18,3,29.8,1.43,Rain,39
2015-6-29,31,GOOD,32,GOOD,PM2.5,5,1,22,30,19,32,64,56,80,7,9,29.84,T,,216
2015-6-30,32,GOOD,51,MODERATE,Ozone,6,3,36,51,9,35,68,60,81,7,10,29.97,0,,155
2015-7-1,51,MODERATE,90,MODERATE,Ozone,5,1,27,90,11,50,72,64,78,10,8,29.78,0.5,Rain-Thunderstorm,164
2015-7-2,90,MODERATE,46,GOOD,PM2.5,5,1,31,42,10,46,72,56,60,9,10,29.86,0,,265
2015-7-3,46,GOOD,40,GOOD,PM2.5,5,1,25,39,13,40,70,53,56,9,10,29.94,0,,63
2015-7-4,40,GOOD,91,MODERATE,PM2.5,7,1,35,33,19,91,67,58,75,4,10,29.99,T,,126
2015-7-5,91,MODERATE,86,MODERATE,PM2.5,7,9,23,43,22,86,72,59,67,8,9,30.05,0,,252
2015-7-6,86,MODERATE,69,MODERATE,PM2.5,6,1,29,54,19,69,74,63,69,7,10,30.13,0,,165
2015-7-7,69,MODERATE,53,MODERATE,PM2.5,5,1,27,39,.,53,75,68,77,10,10,30.05,0.02,Rain,160
2015-7-8,53,MODERATE,61,MODERATE,PM2.5,5,13,23,40,19,61,79,67,68,11,9,29.9,T,Rain,272
