Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-5-15,64,MODERATE,84,MODERATE,Ozone,6,4,42,84,.,57,65,40,45,3,10,30.27,0,,213
2015-5-16,84,MODERATE,58,MODERATE,Ozone,9,3,45,58,.,56,66,58,67,2,7,30.17,0.3,Rain,247
2015-5-17,58,MODERATE,108,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,4,56,108,.,71,74,64,72,2,5,30.14,0.02,Rain,48
2015-5-18,108,UNHEALTHY FOR SENSITIVE GROUPS,68,MODERATE,PM2.5,9,4,63,42,29,68,68,57,77,5,6,30.16,0,,74
2015-5-19,68,MODERATE,60,MODERATE,PM2.5,8,3,52,47,.,60,70,58,72,2,5,29.93,T,Rain,76
2015-5-20,60,MODERATE,45,GOOD,PM2.5,6,1,30,36,.,45,61,38,47,7,10,29.91,0,,304
2015-5-21,45,GOOD,43,GOOD,Ozone,6,3,42,43,.,38,57,38,54,3,10,29.96,0,,270
2015-5-22,43,GOOD,61,MODERATE,Ozone,5,1,40,61,.,44,65,40,51,6,10,29.94,0,,293
2015-5-23,61,MODERATE,48,GOOD,Ozone,5,3,34,48,.,33,60,29,38,4,10,30.34,0,,285
2015-5-24,48,GOOD,100,MODERATE,Ozone,6,4,35,100,23,54,69,43,38,4,10,30.3,0,,251
2015-5-25,100,MODERATE,87,MODERATE,Ozone,6,3,30,87,.,58,75,55,52,5,10,30.22,0,,238
2015-5-26,87,MODERATE,101,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,7,1,34,101,.,54,78,58,54,5,10,30.17,0,,238
2015-5-27,101,UNHEALTHY FOR SENSITIVE GROUPS,56,MODERATE,PM2.5,7,1,40,45,.,56,78,64,70,5,8,30.15,0.08,Rain,231
2015-5-28,56,MODERATE,61,MODERATE,Ozone,7,1,43,61,.,59,78,64,62,4,8,30.15,0,,240
2015-5-29,61,MODERATE,77,MODERATE,Ozone,8,3,41,77,.,58,75,55,57,4,10,30.26,0,,41
2015-5-30,77,MODERATE,50,GOOD,PM2.5,7,1,40,44,21,50,76,63,68,6,10,30.15,0,,202
2015-5-31,50,GOOD,45,GOOD,PM2.5,8,1,21,35,.,45,72,65,74,6,6,30.06,1.46,Fog-Rain,96
2015-6-1,45,GOOD,35,GOOD,NO2,8,1,35,32,.,25,55,53,90,10,4,30.13,0.72,Rain,68
2015-6-2,35,GOOD,26,GOOD,NO2,10,1,26,24,.,22,53,49,88,6,6,30.15,0.37,Rain,62
2015-6-3,26,GOOD,37,GOOD,Ozone,8,1,24,37,.,36,61,49,67,5,10,30.22,0,,71
2015-6-4,37,GOOD,38,GOOD,Ozone,8,4,27,38,.,21,60,48,69,5,10,30.25,0,,80
